id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;id_tipo_finalidade_gta;cod_municipio_origem;nome_municipio_origem;estado_origem;cod_municipio_destino;nome_municipio_destino;estado_destino;qtd;orig_lat;orig_lon;dest_lat;dest_lon;distancia_km;duracao_min;data_seconds;repeticao_origem;flag_binaria;qt_animais_norm;data_seconds_norm;distancia_km_norm;cluster;tsne-3d-1;tsne-3d-2;tsne-3d-3
43699;2012-05-14 09:25:17.472;30026;21698;3;3131604;IRAÍ DE MINAS;MG;3145000;NOVA PONTE;MG;12;-18.9819;-47.461;-19.1461;-47.6779;41.66;43.2;1336987517;0;0;0.3055555555555555;0.0;0.42298710528987715;0;-69.583786;84.61569;87.854935
3463033;2015-07-20 14:34:13.354;21861;21698;3;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;32;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1437402853;0;0;0.861111111111111;0.3211179563280595;0.0;1;33.831146;14.354589;-137.84277
10786938;2020-12-03 13:50:37.838;21861;21698;18;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;9;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1607003437;1;1;0.2222222222222222;0.8634832472844662;0.0;2;110.06036;-8.661281;7.561817
12495503;2022-01-24 15:17:00.774;21698;21698;37;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;1;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1643037420;0;0;0.0;0.9787162330040982;0.0;2;51.400135;-157.7656;-35.847942
1864544;2014-03-06 16:07:00.773;21990;21698;8;3156908;SACRAMENTO;MG;3145000;NOVA PONTE;MG;37;-19.8622;-47.4508;-19.1461;-47.6779;98.49;115.0;1394122020;0;0;0.9999999999999999;0.18271028679503054;1.0;1;91.60591;108.07569;126.86558
3167331;2015-04-23 10:58:21.465;21861;21698;3;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;8;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1429786701;1;1;0.19444444444444442;0.2967622825560383;0.0;0;-97.90125;-109.16634;-111.95107
1026462;2013-05-20 09:41:19.211;21861;21698;3;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;3;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1369042879;1;1;0.05555555555555555;0.10250976339705886;0.0;0;-170.30565;-68.75545;45.614292
12825239;2022-04-11 16:02:50.395;21900;21698;30;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;8;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1649692970;0;0;0.19444444444444442;1.0;0.0;2;-115.93036;67.23184;-71.119896
7123610;2018-05-25 14:18:02.130;15288;21698;3;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;1;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1527257882;0;0;0.0;0.6084651328417996;0.0;-1;217.4274;106.12978;-33.0392
1722308;2014-01-16 14:09:12.322;21861;21698;3;3145000;NOVA PONTE;MG;3145000;NOVA PONTE;MG;8;-19.1461;-47.6779;-19.1461;-47.6779;0.0;0.0;1389881352;1;1;0.19444444444444442;0.16914906501486549;0.0;0;-9.604867;-82.29923;112.38298
