id_gta,dt_emissao_gta,cod_produtor_origem,cod_produtor_destino,id_tipo_finalidade_gta,cod_municipio_origem,nome_municipio_origem,estado_origem,cod_municipio_destino,nome_municipio_destino,estado_destino,qtd,orig_lat,orig_lon,dest_lat,dest_lon,distancia_km,duracao_min,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-2d-1,tsne-2d-2
1167376,2013-06-29 08:05:50.294,31274,433046,2,3124807,ESTRELA DO SUL,MG,3103504,ARAGUARI,MG,13,-18.7399,-47.6956,-18.6456,-48.1934,70.36,73.0,1372493150,0,0,0.0875912408759124,0.04112575654762729,0.26826292511819433,0,9.739013,-8.80652
1707851,2014-01-12 12:59:22.456,28402,433046,2,3119302,COROMANDEL,MG,3103504,ARAGUARI,MG,32,-18.4734,-47.1933,-18.6456,-48.1934,161.32,151.4,1389531562,0,0,0.22627737226277372,0.11845477358774303,0.6150678664023181,0,21.458702,10.495745
887317,2013-04-05 15:40:48.209,68941,433046,2,3103504,ARAGUARI,MG,3103504,ARAGUARI,MG,3,-18.6456,-48.1934,-18.6456,-48.1934,0.0,0.0,1365176448,0,0,0.014598540145985403,0.007918825430135001,0.0,0,-47.524704,18.427965
1379874,2013-09-05 13:12:39.140,30235,433046,2,3143104,MONTE CARMELO,MG,3103504,ARAGUARI,MG,5,-18.7302,-47.4912,-18.6456,-48.1934,106.51,99.3,1378386759,0,0,0.029197080291970802,0.0678739647015778,0.40609272533170665,0,42.91763,-4.8006635
1471902,2013-10-08 13:25:18.973,75790,433046,8,3142809,MONTE ALEGRE DE MINAS,MG,3103504,ARAGUARI,MG,4,-18.869,-48.881,-18.6456,-48.1934,104.22,80.7,1381238718,0,0,0.021897810218978103,0.08081761145156374,0.3973615982919018,0,45.42255,-3.740361
1406595,2013-09-14 17:48:40.084,80080,433046,2,3103504,ARAGUARI,MG,3103504,ARAGUARI,MG,14,-18.6456,-48.1934,-18.6456,-48.1934,0.0,0.0,1379180920,0,0,0.0948905109489051,0.07147827298462683,0.0,0,-37.034073,4.538881
1850872,2014-02-27 11:01:24.189,3094235,433046,2,3143104,MONTE CARMELO,MG,3103504,ARAGUARI,MG,16,-18.7302,-47.4912,-18.6456,-48.1934,106.51,99.3,1393498884,0,0,0.1094890510948905,0.1364605073698364,0.40609272533170665,0,30.380589,14.281537
1259809,2013-07-27 08:37:58.776,423757,433046,2,3124807,ESTRELA DO SUL,MG,3103504,ARAGUARI,MG,12,-18.7399,-47.6956,-18.6456,-48.1934,70.36,73.0,1374914278,0,0,0.08029197080291971,0.052114072147009693,0.26826292511819433,0,8.877789,-9.83807
1322654,2013-08-17 07:41:27.829,480856,433046,2,3124807,ESTRELA DO SUL,MG,3103504,ARAGUARI,MG,31,-18.7399,-47.6956,-18.6456,-48.1934,70.36,73.0,1376725287,0,0,0.21897810218978103,0.06033335606976031,0.26826292511819433,0,7.664341,4.0278344
1365409,2013-08-31 08:27:21.376,30277,433046,2,3124807,ESTRELA DO SUL,MG,3103504,ARAGUARI,MG,2,-18.7399,-47.6956,-18.6456,-48.1934,70.36,73.0,1377937641,0,0,0.0072992700729927005,0.06583563780379986,0.26826292511819433,0,4.022177,-25.199865
1406580,2013-09-14 17:26:44.105,304715,433046,2,3103504,ARAGUARI,MG,3103504,ARAGUARI,MG,1,-18.6456,-48.1934,-18.6456,-48.1934,0.0,0.0,1379179604,0,0,0.0,0.07147230030440177,0.0,0,-47.143593,-6.1679196
1237517,2013-07-20 08:08:22.467,446622,433046,2,3124807,ESTRELA DO SUL,MG,3103504,ARAGUARI,MG,19,-18.7399,-47.6956,-18.6456,-48.1934,70.36,73.0,1374307702,0,0,0.13138686131386862,0.04936112041417573,0.26826292511819433,0,8.50649,-2.9497216
